id,masv,hoten,cc,dk1,dk2,dt,diem_trung_binh,ghi_chu
1,SV00001,Sinh viên 1,9.4,5.3,8.8,4.8,5.94,Trung bình
2,SV00002,Sinh viên 2,9.4,6.6,9.9,4.2,5.94,Trung bình
3,SV00003,Sinh viên 3,6.9,9.8,6.8,8.4,8.22,Giỏi
4,SV00004,Sinh viên 4,5.5,9.8,6.4,5.1,6.04,Trung bình
5,SV00005,Sinh viên 5,5.6,9.0,5.8,5.4,6.02,Trung bình
6,SV00006,Sinh viên 6,9.3,7.4,8.4,9.3,8.88,Giỏi
7,SV00007,Sinh viên 7,7.7,6.5,9.1,3.9,5.45,Trung bình
8,SV00008,Sinh viên 8,6.0,8.7,9.5,4.9,6.27,Trung bình
9,SV00009,Sinh viên 9,5.7,9.6,6.6,7.0,7.2,Khá
10,SV00010,Sinh viên 10,7.9,5.8,3.4,2.2,3.49,Yếu
11,SV00011,Sinh viên 11,5.6,5.1,9.3,3.1,4.58,Yếu
12,SV00012,Sinh viên 12,5.6,3.0,8.1,2.6,3.78,Yếu
13,SV00013,Sinh viên 13,5.1,6.4,9.1,5.5,6.13,Trung bình
14,SV00014,Sinh viên 14,6.6,3.9,8.4,4.8,5.38,Trung bình
15,SV00015,Sinh viên 15,8.9,9.7,9.7,5.0,6.8,Khá
16,SV00016,Sinh viên 16,6.5,3.9,4.2,7.8,6.54,Khá
17,SV00017,Sinh viên 17,7.4,3.7,9.9,5.0,5.78,Trung bình
18,SV00018,Sinh viên 18,9.9,4.7,8.7,3.0,4.8,Yếu
19,SV00019,Sinh viên 19,5.4,7.3,8.7,8.6,8.1,Giỏi
20,SV00020,Sinh viên 20,6.7,4.5,5.6,2.1,3.45,Yếu
21,SV00021,Sinh viên 21,6.6,5.7,7.1,9.1,8.04,Giỏi
22,SV00022,Sinh viên 22,8.3,7.4,5.8,7.7,7.43,Khá
23,SV00023,Sinh viên 23,6.2,7.4,7.2,3.0,4.61,Yếu
24,SV00024,Sinh viên 24,9.6,9.4,9.6,2.4,5.25,Trung bình
25,SV00025,Sinh viên 25,8.3,5.8,3.2,6.0,5.78,Trung bình
26,SV00026,Sinh viên 26,8.1,5.1,4.3,6.9,6.36,Trung bình
27,SV00027,Sinh viên 27,7.1,7.9,4.9,4.0,5.03,Trung bình
28,SV00028,Sinh viên 28,7.8,7.7,6.6,7.4,7.37,Khá
29,SV00029,Sinh viên 29,8.0,5.1,4.2,2.6,3.76,Yếu
30,SV00030,Sinh viên 30,8.7,9.5,5.7,7.2,7.47,Khá
31,SV00031,Sinh viên 31,5.7,7.9,4.5,5.3,5.61,Trung bình
32,SV00032,Sinh viên 32,6.0,6.0,5.6,6.2,6.06,Trung bình
33,SV00033,Sinh viên 33,7.7,6.3,9.8,4.0,5.58,Trung bình
34,SV00034,Sinh viên 34,6.5,7.5,6.3,6.0,6.32,Trung bình
35,SV00035,Sinh viên 35,7.3,6.2,5.5,3.9,4.82,Yếu
36,SV00036,Sinh viên 36,5.4,7.4,8.0,3.1,4.71,Yếu
37,SV00037,Sinh viên 37,5.6,6.2,5.5,5.5,5.62,Trung bình
38,SV00038,Sinh viên 38,6.1,3.1,9.8,5.0,5.54,Trung bình
39,SV00039,Sinh viên 39,8.6,8.1,5.7,2.9,4.67,Yếu
40,SV00040,Sinh viên 40,9.6,9.5,7.9,9.5,9.27,Giỏi
41,SV00041,Sinh viên 41,8.1,10.0,8.9,7.5,8.14,Giỏi
42,SV00042,Sinh viên 42,8.9,3.0,6.3,3.0,4.08,Yếu
43,SV00043,Sinh viên 43,8.4,8.7,3.9,5.6,6.09,Trung bình
44,SV00044,Sinh viên 44,9.8,5.4,7.8,4.8,5.84,Trung bình
45,SV00045,Sinh viên 45,7.2,6.5,9.8,2.3,4.54,Yếu
46,SV00046,Sinh viên 46,7.5,4.0,7.0,9.1,7.86,Khá
47,SV00047,Sinh viên 47,5.9,6.3,8.8,5.8,6.34,Trung bình
48,SV00048,Sinh viên 48,8.3,3.4,3.9,4.6,4.68,Yếu
49,SV00049,Sinh viên 49,5.3,7.4,4.4,8.6,7.46,Khá
50,SV00050,Sinh viên 50,6.9,3.7,3.9,4.4,4.47,Yếu
51,SV00051,Sinh viên 51,6.2,5.2,4.0,2.2,3.32,Yếu
52,SV00052,Sinh viên 52,6.3,3.4,4.3,4.2,4.3,Yếu
53,SV00053,Sinh viên 53,7.4,4.0,3.1,6.4,5.64,Trung bình
54,SV00054,Sinh viên 54,9.8,3.8,4.1,3.2,4.08,Yếu
55,SV00055,Sinh viên 55,6.1,6.5,8.3,4.6,5.59,Trung bình
56,SV00056,Sinh viên 56,9.3,5.5,6.0,3.3,4.63,Yếu
57,SV00057,Sinh viên 57,6.6,5.1,5.7,9.8,8.16,Giỏi
58,SV00058,Sinh viên 58,8.7,3.9,7.0,9.1,7.96,Khá
59,SV00059,Sinh viên 59,8.7,7.3,6.5,2.0,4.14,Yếu
60,SV00060,Sinh viên 60,7.2,7.3,7.8,6.1,6.64,Khá
61,SV00061,Sinh viên 61,5.4,4.0,4.6,4.8,4.71,Yếu
62,SV00062,Sinh viên 62,5.4,4.0,4.4,7.5,6.3,Trung bình
63,SV00063,Sinh viên 63,5.7,9.5,5.5,3.6,4.98,Yếu
64,SV00064,Sinh viên 64,5.8,8.2,8.8,9.4,8.77,Giỏi
