id,masv,hoten,sdt,diachi,lop,ma_nganh,ngay_sinh,gioi_tinh,ghi_chu
1,SV00001,Sinh viên 1,0924880658,Hạ Long 1,DL3,DL,07/01/2005,Nữ,
2,SV00002,Sinh viên 2,0948963579,Hạ Long 2,KT3,KT,09/08/2004,Nữ,
3,SV00003,Sinh viên 3,0977140412,Hạ Long 3,NN5,NN,21/07/2002,Nữ,
4,SV00004,Sinh viên 4,0959952488,Hạ Long 4,CNTT4,CNTT,08/01/2004,Nam,
5,SV00005,Sinh viên 5,0958691615,Hạ Long 5,QTKD1,QTKD,02/08/2005,Nam,
6,SV00006,Sinh viên 6,0932107816,Hạ Long 6,QTKD5,QTKD,05/03/2000,Nữ,
7,SV00007,Sinh viên 7,0933859322,Hạ Long 7,DL2,DL,03/10/2004,Nam,
8,SV00008,Sinh viên 8,0962605001,Hạ Long 8,NN4,NN,06/03/2001,Nữ,
9,SV00009,Sinh viên 9,0916595654,Hạ Long 9,DL4,DL,03/11/2002,Nam,
10,SV00010,Sinh viên 10,0998049121,Hạ Long 10,KT2,KT,27/05/2003,Nam,
11,SV00011,Sinh viên 11,0989749544,Hạ Long 11,DL1,DL,18/07/2002,Nữ,
12,SV00012,Sinh viên 12,0913425989,Hạ Long 12,DL2,DL,25/12/2004,Nữ,
13,SV00013,Sinh viên 13,0992822625,Hạ Long 13,KT2,KT,19/03/2005,Nam,
14,SV00014,Sinh viên 14,0948689235,Hạ Long 14,DL3,DL,19/05/2003,Nam,
15,SV00015,Sinh viên 15,0938609125,Hạ Long 15,QTKD1,QTKD,12/02/2004,Nam,
16,SV00016,Sinh viên 16,0977584092,Hạ Long 16,QTKD4,QTKD,25/04/2005,Nữ,
17,SV00017,Sinh viên 17,0972368453,Hạ Long 17,KT4,KT,25/10/2000,Nam,
18,SV00018,Sinh viên 18,0986864312,Hạ Long 18,DL2,DL,12/06/2001,Nữ,
19,SV00019,Sinh viên 19,0998541744,Hạ Long 19,DL2,DL,12/01/2002,Nữ,
20,SV00020,Sinh viên 20,0956100711,Hạ Long 20,NN5,NN,10/11/2004,Nam,
21,SV00021,Sinh viên 21,0948053039,Hạ Long 21,QTKD1,QTKD,26/05/2002,Nữ,
22,SV00022,Sinh viên 22,0995663242,Hạ Long 22,NN2,NN,15/12/2001,Nam,
23,SV00023,Sinh viên 23,0927845795,Hạ Long 23,DL2,DL,11/01/2004,Nam,
24,SV00024,Sinh viên 24,0946546713,Hạ Long 24,KT5,KT,08/05/2004,Nam,
25,SV00025,Sinh viên 25,0985710640,Hạ Long 25,NN5,NN,09/09/2005,Nữ,
26,SV00026,Sinh viên 26,0970416140,Hạ Long 26,CNTT4,CNTT,04/04/2000,Nam,
27,SV00027,Sinh viên 27,0922021796,Hạ Long 27,DL5,DL,11/05/2002,Nam,
28,SV00028,Sinh viên 28,0934847088,Hạ Long 28,CNTT5,CNTT,06/02/2000,Nữ,
29,SV00029,Sinh viên 29,0944351473,Hạ Long 29,KT4,KT,05/01/2000,Nam,
30,SV00030,Sinh viên 30,0963901626,Hạ Long 30,NN1,NN,11/03/2000,Nữ,
31,SV00031,Sinh viên 31,0926448184,Hạ Long 31,QTKD2,QTKD,25/06/2003,Nam,
32,SV00032,Sinh viên 32,0915262605,Hạ Long 32,DL5,DL,07/04/2002,Nam,
33,SV00033,Sinh viên 33,0933025709,Hạ Long 33,DL5,DL,27/07/2005,Nữ,
34,SV00034,Sinh viên 34,0990809662,Hạ Long 34,CNTT5,CNTT,05/04/2004,Nữ,
35,SV00035,Sinh viên 35,0925375278,Hạ Long 35,KT2,KT,26/06/2005,Nam,
36,SV00036,Sinh viên 36,0955086876,Hạ Long 36,NN1,NN,19/08/2002,Nam,
37,SV00037,Sinh viên 37,0998205569,Hạ Long 37,CNTT5,CNTT,12/12/2005,Nữ,
38,SV00038,Sinh viên 38,0923062091,Hạ Long 38,KT3,KT,08/11/2005,Nam,
39,SV00039,Sinh viên 39,0957245779,Hạ Long 39,NN2,NN,19/04/2001,Nữ,
40,SV00040,Sinh viên 40,0972998709,Hạ Long 40,CNTT1,CNTT,28/05/2005,Nam,
41,SV00041,Sinh viên 41,0951533962,Hạ Long 41,QTKD4,QTKD,13/07/2005,Nữ,
42,SV00042,Sinh viên 42,0953163774,Hạ Long 42,QTKD1,QTKD,26/09/2005,Nữ,
43,SV00043,Sinh viên 43,0935773844,Hạ Long 43,QTKD4,QTKD,28/02/2002,Nam,
